Hours,Scores
2.5,21
5.1,47
3.2,27
8.5,75
3.5,30
1.5,20
9.2,88
5.5,60
8.3,81
2.7,25
7.7,85
5.9,62
4.5,41
3.3,42
1.1,17
8.9,95
2.5,30
1.9,24
6.1,67
7.4,69
2.7,30
4.8,54
3.8,35
6.9,76
7.8,86
4.2,49
9.5,90
5.8,63
2.3,23
4.7,50
1.6,19
9.0,92
6.2,68
8.1,82
3.9,38
2.2,22
7.1,73
6.3,66
5.3,56
4.4,45
1.8,21
9.4,93
6.7,71
3.7,37
7.3,77
4.1,44
8.0,79
3.1,28
1.3,16
5.7,59
2.8,29
7.9,80
6.6,72
3.6,36
2.4,26
4.6,48
8.4,84
1.7,18
5.2,53
6.4,64
7.6,78
9.3,94
3.4,33
2.1,20
5.4,55
8.2,83
1.4,15
9.6,98
6.8,74
7.5,70
4.3,43
6.5,65
8.7,87
3.0,27
2.9,31
1.2,14
9.7,96
4.9,51
5.6,57
8.6,89
2.6,32
7.2,72
1.0,12
6.0,61
4.0,40
5.0,52
6.8,67
2.0,18
3.0,34
7.0,73
9.8,99
5.8,60
4.4,44
6.1,63
3.7,37
8.0,84

